 ix          r[AU] il       lam[mic]       tau_vert
 32  1.4270694E-01 14  8.8527200E+00  1.3540134E+04  dust
 32  1.4270694E-01 15  1.2668311E+01  1.1929604E+04  dust
 32  1.4270694E-01 16  1.8134220E+01  1.1690045E+04  dust
 32  1.4270694E-01 17  2.5964377E+01  1.0776725E+04  dust
 32  1.4270694E-01 18  4.2233750E+01  7.8605511E+03  dust
 32  1.4270694E-01 19  8.6443439E+01  5.2828224E+03  dust
 32  1.4270694E-01 20  1.7710287E+02  3.5725367E+03  dust
 32  1.4270694E-01 21  3.6308087E+02  2.4025969E+03  dust
 32  1.4270694E-01 22  7.4469677E+02  1.5939414E+03  dust
 32  1.4270694E-01 23  1.5279094E+03  1.0287044E+03  dust
 32  1.4270694E-01 24  3.1355912E+03  6.3041238E+02  dust
 32  1.4270694E-01 25  6.4360319E+03  3.3672836E+02  dust
 33  1.5237450E-01  1  9.5842289E-02  6.4094748E+04  dust
 33  1.5237450E-01  2  1.0573550E-01  6.2905912E+04  dust
 33  1.5237450E-01  3  1.1812006E-01  6.1478260E+04  dust
 33  1.5237450E-01  4  1.3353968E-01  5.9912911E+04  dust
 33  1.5237450E-01  5  1.5097181E-01  5.8186061E+04  dust
 33  1.5237450E-01  6  1.7067955E-01  5.5638606E+04  dust
 33  1.5237450E-01  7  1.9296000E-01  5.2769405E+04  dust
 33  1.5237450E-01  8  3.0195156E-01  4.6524393E+04  dust
 33  1.5237450E-01  9  5.8874250E-01  3.7244206E+04  dust
 33  1.5237450E-01 10  1.2118621E+00  2.7210293E+04  dust
 33  1.5237450E-01 11  2.3303096E+00  1.9128943E+04  dust
 33  1.5237450E-01 12  4.3003104E+00  1.4779655E+04  dust
 33  1.5237450E-01 13  6.2450423E+00  1.1769236E+04  dust
 33  1.5237450E-01 14  8.8527200E+00  1.2746289E+04  dust
 33  1.5237450E-01 15  1.2668311E+01  1.1230194E+04  dust
 33  1.5237450E-01 16  1.8134220E+01  1.1004680E+04  dust
 33  1.5237450E-01 17  2.5964377E+01  1.0144914E+04  dust
 33  1.5237450E-01 18  4.2233750E+01  7.3997268E+03  dust
 33  1.5237450E-01 19  8.6443439E+01  4.9731387E+03  dust
 33  1.5237450E-01 20  1.7710287E+02  3.3631302E+03  dust
 33  1.5237450E-01 21  3.6308087E+02  2.2617832E+03  dust
 33  1.5237450E-01 22  7.4469677E+02  1.5005351E+03  dust
 33  1.5237450E-01 23  1.5279094E+03  9.6843112E+02  dust
 33  1.5237450E-01 24  3.1355912E+03  5.9348188E+02  dust
 33  1.5237450E-01 25  6.4360319E+03  3.1700537E+02  dust
 34  1.6269698E-01  1  9.5842289E-02  6.0223427E+04  dust
 34  1.6269698E-01  2  1.0573550E-01  5.9106398E+04  dust
 34  1.6269698E-01  3  1.1812006E-01  5.7764978E+04  dust
 34  1.6269698E-01  4  1.3353968E-01  5.6294178E+04  dust
 34  1.6269698E-01  5  1.5097181E-01  5.4671632E+04  dust
 34  1.6269698E-01  6  1.7067955E-01  5.2278046E+04  dust
 34  1.6269698E-01  7  1.9296000E-01  4.9582149E+04  dust
 34  1.6269698E-01  8  3.0195156E-01  4.3714343E+04  dust
 34  1.6269698E-01  9  5.8874250E-01  3.4994690E+04  dust
 34  1.6269698E-01 10  1.2118621E+00  2.5566838E+04  dust
 34  1.6269698E-01 11  2.3303096E+00  1.7973611E+04  dust
 34  1.6269698E-01 12  4.3003104E+00  1.3887024E+04  dust
 34  1.6269698E-01 13  6.2450423E+00  1.1058436E+04  dust
 34  1.6269698E-01 14  8.8527200E+00  1.1976473E+04  dust
 34  1.6269698E-01 15  1.2668311E+01  1.0551953E+04  dust
 34  1.6269698E-01 16  1.8134220E+01  1.0340060E+04  dust
 34  1.6269698E-01 17  2.5964377E+01  9.5322258E+03  dust
 34  1.6269698E-01 18  4.2233750E+01  6.9528496E+03  dust
 34  1.6269698E-01 19  8.6443439E+01  4.6728271E+03  dust
 34  1.6269698E-01 20  1.7710287E+02  3.1600605E+03  dust
 34  1.6269698E-01 21  3.6308087E+02  2.1252301E+03  dust
 34  1.6269698E-01 22  7.4469677E+02  1.4099544E+03  dust
 34  1.6269698E-01 23  1.5279094E+03  9.0998067E+02  dust
 34  1.6269698E-01 24  3.1355912E+03  5.5766793E+02  dust
 34  1.6269698E-01 25  6.4360319E+03  2.9787850E+02  dust
 35  1.7371875E-01  1  9.5842289E-02  5.6515929E+04  dust
 35  1.7371875E-01  2  1.0573550E-01  5.5467669E+04  dust
 35  1.7371875E-01  3  1.1812006E-01  5.4208832E+04  dust
 35  1.7371875E-01  4  1.3353968E-01  5.2828580E+04  dust
 35  1.7371875E-01  5  1.5097181E-01  5.1305924E+04  dust
 35  1.7371875E-01  6  1.7067955E-01  4.9059696E+04  dust
 35  1.7371875E-01  7  1.9296000E-01  4.6529768E+04  dust
 35  1.7371875E-01  8  3.0195156E-01  4.1023206E+04  dust
 35  1.7371875E-01  9  5.8874250E-01  3.2840367E+04  dust
 35  1.7371875E-01 10  1.2118621E+00  2.3992928E+04  dust
 35  1.7371875E-01 11  2.3303096E+00  1.6867167E+04  dust
 35  1.7371875E-01 12  4.3003104E+00  1.3032164E+04  dust
 35  1.7371875E-01 13  6.2450423E+00  1.0377714E+04  dust
 35  1.7371875E-01 14  8.8527200E+00  1.1239231E+04  dust
 35  1.7371875E-01 15  1.2668311E+01  9.9024116E+03  dust
 35  1.7371875E-01 16  1.8134220E+01  9.7035623E+03  dust
 35  1.7371875E-01 17  2.5964377E+01  8.9454629E+03  dust
 35  1.7371875E-01 18  4.2233750E+01  6.5248810E+03  dust
 35  1.7371875E-01 19  8.6443439E+01  4.3852218E+03  dust
 35  1.7371875E-01 20  1.7710287E+02  2.9655821E+03  dust
 35  1.7371875E-01 21  3.6308087E+02  1.9944534E+03  dust
 35  1.7371875E-01 22  7.4469677E+02  1.3232049E+03  dust
 35  1.7371875E-01 23  1.5279094E+03  8.5400195E+02  dust
 35  1.7371875E-01 24  3.1355912E+03  5.2336811E+02  dust
 35  1.7371875E-01 25  6.4360319E+03  2.7956006E+02  dust
 36  1.8548717E-01  1  9.5842289E-02  5.2993227E+04  dust
 36  1.8548717E-01  2  1.0573550E-01  5.2010308E+04  dust
 36  1.8548717E-01  3  1.1812006E-01  5.0829937E+04  dust
 36  1.8548717E-01  4  1.3353968E-01  4.9535719E+04  dust
 36  1.8548717E-01  5  1.5097181E-01  4.8107974E+04  dust
 36  1.8548717E-01  6  1.7067955E-01  4.6001760E+04  dust
 36  1.8548717E-01  7  1.9296000E-01  4.3629528E+04  dust
 36  1.8548717E-01  8  3.0195156E-01  3.8466204E+04  dust
 36  1.8548717E-01  9  5.8874250E-01  3.0793423E+04  dust
 36  1.8548717E-01 10  1.2118621E+00  2.2497466E+04  dust
 36  1.8548717E-01 11  2.3303096E+00  1.5815871E+04  dust
 36  1.8548717E-01 12  4.3003104E+00  1.2219913E+04  dust
 36  1.8548717E-01 13  6.2450423E+00  9.7309191E+03  dust
 36  1.8548717E-01 14  8.8527200E+00  1.0538735E+04  dust
 36  1.8548717E-01 15  1.2668311E+01  9.2852437E+03  dust
 36  1.8548717E-01 16  1.8134220E+01  9.0987881E+03  dust
 36  1.8548717E-01 17  2.5964377E+01  8.3879443E+03  dust
 36  1.8548717E-01 18  4.2233750E+01  6.1182418E+03  dust
 36  1.8548717E-01 19  8.6443439E+01  4.1119496E+03  dust
 36  1.8548717E-01 20  1.7710287E+02  2.7807949E+03  dust
 36  1.8548717E-01 21  3.6308087E+02  1.8701930E+03  dust
 36  1.8548717E-01 22  7.4469677E+02  1.2407773E+03  dust
 36  1.8548717E-01 23  1.5279094E+03  8.0081162E+02  dust
 36  1.8548717E-01 24  3.1355912E+03  4.9077645E+02  dust
 36  1.8548717E-01 25  6.4360319E+03  2.6215368E+02  dust
 37  1.9805284E-01  1  9.5842289E-02  4.9662950E+04  dust
 37  1.9805284E-01  2  1.0573550E-01  4.8741802E+04  dust
 37  1.9805284E-01  3  1.1812006E-01  4.7635612E+04  dust
 37  1.9805284E-01  4  1.3353968E-01  4.6422729E+04  dust
 37  1.9805284E-01  5  1.5097181E-01  4.5084710E+04  dust
 37  1.9805284E-01  6  1.7067955E-01  4.3110861E+04  dust
 37  1.9805284E-01  7  1.9296000E-01  4.0887712E+04  dust
 37  1.9805284E-01  8  3.0195156E-01  3.6048876E+04  dust
 37  1.9805284E-01  9  5.8874250E-01  2.8858290E+04  dust
 37  1.9805284E-01 10  1.2118621E+00  2.1083691E+04  dust
 37  1.9805284E-01 11  2.3303096E+00  1.4821999E+04  dust
 37  1.9805284E-01 12  4.3003104E+00  1.1452028E+04  dust
 37  1.9805284E-01 13  6.2450423E+00  9.1194531E+03  dust
 37  1.9805284E-01 14  8.8527200E+00  9.8765002E+03  dust
 37  1.9805284E-01 15  1.2668311E+01  8.7017861E+03  dust
 37  1.9805284E-01 16  1.8134220E+01  8.5270473E+03  dust
 37  1.9805284E-01 17  2.5964377E+01  7.8608777E+03  dust
 37  1.9805284E-01 18  4.2233750E+01  5.7338128E+03  dust
 37  1.9805284E-01 19  8.6443439E+01  3.8536024E+03  dust
 37  1.9805284E-01 20  1.7710287E+02  2.6060994E+03  dust
 37  1.9805284E-01 21  3.6308087E+02  1.7527180E+03  dust
 37  1.9805284E-01 22  7.4469677E+02  1.1628502E+03  dust
 37  1.9805284E-01 23  1.5279094E+03  7.5052497E+02  dust
 37  1.9805284E-01 24  3.1355912E+03  4.5996361E+02  dust
 37  1.9805284E-01 25  6.4360319E+03  2.4569713E+02  dust
 38  2.1146976E-01  1  9.5842289E-02  4.6524804E+04  dust
 38  2.1146976E-01  2  1.0573550E-01  4.5661864E+04  dust
 38  2.1146976E-01  3  1.1812006E-01  4.4625574E+04  dust
 38  2.1146976E-01  4  1.3353968E-01  4.3489334E+04  dust
 38  2.1146976E-01  5  1.5097181E-01  4.2235865E+04  dust
 38  2.1146976E-01  6  1.7067955E-01  4.0386744E+04  dust
 38  2.1146976E-01  7  1.9296000E-01  3.8304077E+04  dust
 38  2.1146976E-01  8  3.0195156E-01  3.3771008E+04  dust
 38  2.1146976E-01  9  5.8874250E-01  2.7034798E+04  dust
 38  2.1146976E-01 10  1.2118621E+00  1.9751479E+04  dust
 38  2.1146976E-01 11  2.3303096E+00  1.3885465E+04  dust
 38  2.1146976E-01 12  4.3003104E+00  1.0728442E+04  dust
 38  2.1146976E-01 13  6.2450423E+00  8.5432621E+03  dust
 38  2.1146976E-01 14  8.8527200E+00  9.2524697E+03  dust
 38  2.1146976E-01 15  1.2668311E+01  8.1519876E+03  dust
 38  2.1146976E-01 16  1.8134220E+01  7.9882896E+03  dust
 38  2.1146976E-01 17  2.5964377E+01  7.3642168E+03  dust
 38  2.1146976E-01 18  4.2233750E+01  5.3715603E+03  dust
 38  2.1146976E-01 19  8.6443439E+01  3.6101577E+03  dust
 38  2.1146976E-01 20  1.7710287E+02  2.4414802E+03  dust
 38  2.1146976E-01 21  3.6308087E+02  1.6420183E+03  dust
 38  2.1146976E-01 22  7.4469677E+02  1.0894169E+03  dust
 38  2.1146976E-01 23  1.5279094E+03  7.0313770E+02  dust
 38  2.1146976E-01 24  3.1355912E+03  4.3092700E+02  dust
 38  2.1146976E-01 25  6.4360319E+03  2.3018902E+02  dust
 39  2.2579559E-01  1  9.5842289E-02  4.3573927E+04  dust
 39  2.2579559E-01  2  1.0573550E-01  4.2765721E+04  dust
 39  2.2579559E-01  3  1.1812006E-01  4.1795160E+04  dust
 39  2.2579559E-01  4  1.3353968E-01  4.0730989E+04  dust
 39  2.2579559E-01  5  1.5097181E-01  3.9557025E+04  dust
 39  2.2579559E-01  6  1.7067955E-01  3.7825188E+04  dust
 39  2.2579559E-01  7  1.9296000E-01  3.5874619E+04  dust
 39  2.2579559E-01  8  3.0195156E-01  3.1629072E+04  dust
 39  2.2579559E-01  9  5.8874250E-01  2.5320122E+04  dust
 39  2.2579559E-01 10  1.2118621E+00  1.8498765E+04  dust
 39  2.2579559E-01 11  2.3303096E+00  1.3004816E+04  dust
 39  2.2579559E-01 12  4.3003104E+00  1.0048034E+04  dust
 39  2.2579559E-01 13  6.2450423E+00  8.0014533E+03  dust
 39  2.2579559E-01 14  8.8527200E+00  8.6656763E+03  dust
 39  2.2579559E-01 15  1.2668311E+01  7.6349963E+03  dust
 39  2.2579559E-01 16  1.8134220E+01  7.4816803E+03  dust
 39  2.2579559E-01 17  2.5964377E+01  6.8971920E+03  dust
 39  2.2579559E-01 18  4.2233750E+01  5.0309230E+03  dust
 39  2.2579559E-01 19  8.6443439E+01  3.3812384E+03  dust
 39  2.2579559E-01 20  1.7710287E+02  2.2866825E+03  dust
 39  2.2579559E-01 21  3.6308087E+02  1.5379225E+03  dust
 39  2.2579559E-01 22  7.4469677E+02  1.0203638E+03  dust
 39  2.2579559E-01 23  1.5279094E+03  6.5857650E+02  dust
 39  2.2579559E-01 24  3.1355912E+03  4.0362172E+02  dust
 39  2.2579559E-01 25  6.4360319E+03  2.1560541E+02  dust
 40  2.4109192E-01  1  9.5842289E-02  4.0802939E+04  dust
 40  2.4109192E-01  2  1.0573550E-01  4.0046131E+04  dust
 40  2.4109192E-01  3  1.1812006E-01  3.9137293E+04  dust
 40  2.4109192E-01  4  1.3353968E-01  3.8140797E+04  dust
 40  2.4109192E-01  5  1.5097181E-01  3.7041490E+04  dust
 40  2.4109192E-01  6  1.7067955E-01  3.5419789E+04  dust
 40  2.4109192E-01  7  1.9296000E-01  3.3593265E+04  dust
 40  2.4109192E-01  8  3.0195156E-01  2.9617710E+04  dust
 40  2.4109192E-01  9  5.8874250E-01  2.3709975E+04  dust
 40  2.4109192E-01 10  1.2118621E+00  1.7322417E+04  dust
 40  2.4109192E-01 11  2.3303096E+00  1.2177852E+04  dust
 40  2.4109192E-01 12  4.3003104E+00  9.4091035E+03  dust
 40  2.4109192E-01 13  6.2450423E+00  7.4926721E+03  dust
 40  2.4109192E-01 14  8.8527200E+00  8.1146529E+03  dust
 40  2.4109192E-01 15  1.2668311E+01  7.1495196E+03  dust
 40  2.4109192E-01 16  1.8134220E+01  7.0059526E+03  dust
 40  2.4109192E-01 17  2.5964377E+01  6.4586357E+03  dust
 40  2.4109192E-01 18  4.2233750E+01  4.7110493E+03  dust
 40  2.4109192E-01 19  8.6443439E+01  3.1662721E+03  dust
 40  2.4109192E-01 20  1.7710287E+02  2.1413194E+03  dust
 40  2.4109192E-01 21  3.6308087E+02  1.4401704E+03  dust
 40  2.4109192E-01 22  7.4469677E+02  9.5551825E+02  dust
 40  2.4109192E-01 23  1.5279094E+03  6.1673012E+02  dust
 40  2.4109192E-01 24  3.1355912E+03  3.7797964E+02  dust
 40  2.4109192E-01 25  6.4360319E+03  2.0190993E+02  dust
 41  2.5742448E-01  1  9.5842289E-02  3.8203196E+04  dust
 41  2.5742448E-01  2  1.0573550E-01  3.7494608E+04  dust
 41  2.5742448E-01  3  1.1812006E-01  3.6643678E+04  dust
 41  2.5742448E-01  4  1.3353968E-01  3.5710675E+04  dust
 41  2.5742448E-01  5  1.5097181E-01  3.4681412E+04  dust
 41  2.5742448E-01  6  1.7067955E-01  3.3163040E+04  dust
 41  2.5742448E-01  7  1.9296000E-01  3.1452895E+04  dust
 41  2.5742448E-01  8  3.0195156E-01  2.7730648E+04  dust
 41  2.5742448E-01  9  5.8874250E-01  2.2199331E+04  dust
 41  2.5742448E-01 10  1.2118621E+00  1.6218765E+04  dust
 41  2.5742448E-01 11  2.3303096E+00  1.1401991E+04  dust
 41  2.5742448E-01 12  4.3003104E+00  8.8096561E+03  dust
 41  2.5742448E-01 13  6.2450423E+00  7.0153311E+03  dust
 41  2.5742448E-01 14  8.8527200E+00  7.5976802E+03  dust
 41  2.5742448E-01 15  1.2668311E+01  6.6940429E+03  dust
 41  2.5742448E-01 16  1.8134220E+01  6.5596225E+03  dust
 41  2.5742448E-01 17  2.5964377E+01  6.0471797E+03  dust
 41  2.5742448E-01 18  4.2233750E+01  4.4109414E+03  dust
 41  2.5742448E-01 19  8.6443439E+01  2.9645884E+03  dust
 41  2.5742448E-01 20  1.7710287E+02  2.0049374E+03  dust
 41  2.5742448E-01 21  3.6308087E+02  1.3484572E+03  dust
 41  2.5742448E-01 22  7.4469677E+02  8.9467821E+02  dust
 41  2.5742448E-01 23  1.5279094E+03  5.7746813E+02  dust
 41  2.5742448E-01 24  3.1355912E+03  3.5392088E+02  dust
 41  2.5742448E-01 25  6.4360319E+03  1.8905992E+02  dust
 42  2.7486348E-01  1  9.5842289E-02  3.5765532E+04  dust
 42  2.7486348E-01  2  1.0573550E-01  3.5102160E+04  dust
 42  2.7486348E-01  3  1.1812006E-01  3.4305527E+04  dust
 42  2.7486348E-01  4  1.3353968E-01  3.3432058E+04  dust
 42  2.7486348E-01  5  1.5097181E-01  3.2468472E+04  dust
 42  2.7486348E-01  6  1.7067955E-01  3.1046987E+04  dust
 42  2.7486348E-01  7  1.9296000E-01  2.9445965E+04  dust
 42  2.7486348E-01  8  3.0195156E-01  2.5961233E+04  dust
 42  2.7486348E-01  9  5.8874250E-01  2.0782867E+04  dust
 42  2.7486348E-01 10  1.2118621E+00  1.5183918E+04  dust
 42  2.7486348E-01 11  2.3303096E+00  1.0674499E+04  dust
 42  2.7486348E-01 12  4.3003104E+00  8.2475794E+03  dust
 42  2.7486348E-01 13  6.2450423E+00  6.5677479E+03  dust
 42  2.7486348E-01 14  8.8527200E+00  7.1129363E+03  dust
 42  2.7486348E-01 15  1.2668311E+01  6.2669609E+03  dust
 42  2.7486348E-01 16  1.8134220E+01  6.1411169E+03  dust
 42  2.7486348E-01 17  2.5964377E+01  5.6613740E+03  dust
 42  2.7486348E-01 18  4.2233750E+01  4.1295417E+03  dust
 42  2.7486348E-01 19  8.6443439E+01  2.7754765E+03  dust
 42  2.7486348E-01 20  1.7710287E+02  1.8770560E+03  dust
 42  2.7486348E-01 21  3.6308087E+02  1.2624599E+03  dust
 42  2.7486348E-01 22  7.4469677E+02  8.3762939E+02  dust
 42  2.7486348E-01 23  1.5279094E+03  5.4065232E+02  dust
 42  2.7486348E-01 24  3.1355912E+03  3.3136076E+02  dust
 42  2.7486348E-01 25  6.4360319E+03  1.7701019E+02  dust
 43  2.9348387E-01  1  9.5842289E-02  3.3480715E+04  dust
 43  2.9348387E-01  2  1.0573550E-01  3.2859722E+04  dust
 43  2.9348387E-01  3  1.1812006E-01  3.2113982E+04  dust
 43  2.9348387E-01  4  1.3353968E-01  3.1296315E+04  dust
 43  2.9348387E-01  5  1.5097181E-01  3.0394288E+04  dust
 43  2.9348387E-01  6  1.7067955E-01  2.9063613E+04  dust
 43  2.9348387E-01  7  1.9296000E-01  2.7564873E+04  dust
 43  2.9348387E-01  8  3.0195156E-01  2.4302763E+04  dust
 43  2.9348387E-01  9  5.8874250E-01  1.9455217E+04  dust
 43  2.9348387E-01 10  1.2118621E+00  1.4213957E+04  dust
 43  2.9348387E-01 11  2.3303096E+00  9.9926213E+03  dust
 43  2.9348387E-01 12  4.3003104E+00  7.7207440E+03  dust
 43  2.9348387E-01 13  6.2450423E+00  6.1482272E+03  dust
 43  2.9348387E-01 14  8.8527200E+00  6.6585849E+03  dust
 43  2.9348387E-01 15  1.2668311E+01  5.8666559E+03  dust
 43  2.9348387E-01 16  1.8134220E+01  5.7488504E+03  dust
 43  2.9348387E-01 17  2.5964377E+01  5.2997570E+03  dust
 43  2.9348387E-01 18  4.2233750E+01  3.8657842E+03  dust
 43  2.9348387E-01 19  8.6443439E+01  2.5982203E+03  dust
 43  2.9348387E-01 20  1.7710287E+02  1.7571910E+03  dust
 43  2.9348387E-01 21  3.6308087E+02  1.1818528E+03  dust
 43  2.9348387E-01 22  7.4469677E+02  7.8415585E+02  dust
 43  2.9348387E-01 23  1.5279094E+03  5.0614336E+02  dust
 43  2.9348387E-01 24  3.1355912E+03  3.1021397E+02  dust
 43  2.9348387E-01 25  6.4360319E+03  1.6571518E+02  dust
 44  3.1336568E-01  1  9.5842289E-02  3.1339692E+04  dust
 44  3.1336568E-01  2  1.0573550E-01  3.0758411E+04  dust
 44  3.1336568E-01  3  1.1812006E-01  3.0060361E+04  dust
 44  3.1336568E-01  4  1.3353968E-01  2.9294984E+04  dust
 44  3.1336568E-01  5  1.5097181E-01  2.8450641E+04  dust
 44  3.1336568E-01  6  1.7067955E-01  2.7205063E+04  dust
 44  3.1336568E-01  7  1.9296000E-01  2.5802167E+04  dust
 44  3.1336568E-01  8  3.0195156E-01  2.2748668E+04  dust
 44  3.1336568E-01  9  5.8874250E-01  1.8211122E+04  dust
 44  3.1336568E-01 10  1.2118621E+00  1.3305038E+04  dust
 44  3.1336568E-01 11  2.3303096E+00  9.3536556E+03  dust
 44  3.1336568E-01 12  4.3003104E+00  7.2270634E+03  dust
 44  3.1336568E-01 13  6.2450423E+00  5.7551073E+03  dust
 44  3.1336568E-01 14  8.8527200E+00  6.2328265E+03  dust
 44  3.1336568E-01 15  1.2668311E+01  5.4915422E+03  dust
 44  3.1336568E-01 16  1.8134220E+01  5.3812695E+03  dust
 44  3.1336568E-01 17  2.5964377E+01  4.9608965E+03  dust
 44  3.1336568E-01 18  4.2233750E+01  3.6186243E+03  dust
 44  3.1336568E-01 19  8.6443439E+01  2.4321177E+03  dust
 44  3.1336568E-01 20  1.7710287E+02  1.6448678E+03  dust
 44  3.1336568E-01 21  3.6308087E+02  1.1063169E+03  dust
 44  3.1336568E-01 22  7.4469677E+02  7.3404593E+02  dust
 44  3.1336568E-01 23  1.5279094E+03  4.7380473E+02  dust
 44  3.1336568E-01 24  3.1355912E+03  2.9039685E+02  dust
 44  3.1336568E-01 25  6.4360319E+03  1.5513025E+02  dust
 45  3.3459437E-01  1  9.5842289E-02  2.9333742E+04  dust
 45  3.3459437E-01  2  1.0573550E-01  2.8789668E+04  dust
 45  3.3459437E-01  3  1.1812006E-01  2.8136299E+04  dust
 45  3.3459437E-01  4  1.3353968E-01  2.7419913E+04  dust
 45  3.3459437E-01  5  1.5097181E-01  2.6629615E+04  dust
 45  3.3459437E-01  6  1.7067955E-01  2.5463765E+04  dust
 45  3.3459437E-01  7  1.9296000E-01  2.4150666E+04  dust
 45  3.3459437E-01  8  3.0195156E-01  2.1292617E+04  dust
 45  3.3459437E-01  9  5.8874250E-01  1.7045513E+04  dust
 45  3.3459437E-01 10  1.2118621E+00  1.2453461E+04  dust
 45  3.3459437E-01 11  2.3303096E+00  8.7549994E+03  dust
 45  3.3459437E-01 12  4.3003104E+00  6.7645265E+03  dust
 45  3.3459437E-01 13  6.2450423E+00  5.3867867E+03  dust
 45  3.3459437E-01 14  8.8527200E+00  5.8339266E+03  dust
 45  3.3459437E-01 15  1.2668311E+01  5.1400920E+03  dust
 45  3.3459437E-01 16  1.8134220E+01  5.0368767E+03  dust
 45  3.3459437E-01 17  2.5964377E+01  4.6434122E+03  dust
 45  3.3459437E-01 18  4.2233750E+01  3.3870554E+03  dust
 45  3.3459437E-01 19  8.6443439E+01  2.2764923E+03  dust
 45  3.3459437E-01 20  1.7710287E+02  1.5396289E+03  dust
 45  3.3459437E-01 21  3.6308087E+02  1.0355445E+03  dust
 45  3.3459437E-01 22  7.4469677E+02  6.8709568E+02  dust
 45  3.3459437E-01 23  1.5279094E+03  4.4350482E+02  dust
 45  3.3459437E-01 24  3.1355912E+03  2.7182881E+02  dust
 45  3.3459437E-01 25  6.4360319E+03  1.4521235E+02  dust
 46  3.5726117E-01  1  9.5842289E-02  2.7454544E+04  dust
 46  3.5726117E-01  2  1.0573550E-01  2.6945326E+04  dust
 46  3.5726117E-01  3  1.1812006E-01  2.6333816E+04  dust
 46  3.5726117E-01  4  1.3353968E-01  2.5663324E+04  dust
 46  3.5726117E-01  5  1.5097181E-01  2.4923657E+04  dust
 46  3.5726117E-01  6  1.7067955E-01  2.3832496E+04  dust
 46  3.5726117E-01  7  1.9296000E-01  2.2603521E+04  dust
 46  3.5726117E-01  8  3.0195156E-01  1.9928571E+04  dust
 46  3.5726117E-01  9  5.8874250E-01  1.5953556E+04  dust
 46  3.5726117E-01 10  1.2118621E+00  1.1655692E+04  dust
 46  3.5726117E-01 11  2.3303096E+00  8.1941700E+03  dust
 46  3.5726117E-01 12  4.3003104E+00  6.3312150E+03  dust
 46  3.5726117E-01 13  6.2450423E+00  5.0417382E+03  dust
 46  3.5726117E-01 14  8.8527200E+00  5.4602309E+03  dust
 46  3.5726117E-01 15  1.2668311E+01  4.8108477E+03  dust
 46  3.5726117E-01 16  1.8134220E+01  4.7142440E+03  dust
 46  3.5726117E-01 17  2.5964377E+01  4.3459876E+03  dust
 46  3.5726117E-01 18  4.2233750E+01  3.1701172E+03  dust
 46  3.5726117E-01 19  8.6443439E+01  2.1306987E+03  dust
 46  3.5726117E-01 20  1.7710287E+02  1.4410381E+03  dust
 46  3.5726117E-01 21  3.6308087E+02  9.6924243E+02  dust
 46  3.5726117E-01 22  7.4469677E+02  6.4311052E+02  dust
 46  3.5726117E-01 23  1.5279094E+03  4.1511813E+02  dust
 46  3.5726117E-01 24  3.1355912E+03  2.5443296E+02  dust
 46  3.5726117E-01 25  6.4360319E+03  1.3592044E+02  dust
 47  3.8146352E-01  1  9.5842289E-02  2.5694215E+04  dust
 47  3.8146352E-01  2  1.0573550E-01  2.5217648E+04  dust
 47  3.8146352E-01  3  1.1812006E-01  2.4645348E+04  dust
 47  3.8146352E-01  4  1.3353968E-01  2.4017848E+04  dust
 47  3.8146352E-01  5  1.5097181E-01  2.3325608E+04  dust
 47  3.8146352E-01  6  1.7067955E-01  2.2304413E+04  dust
 47  3.8146352E-01  7  1.9296000E-01  2.1154239E+04  dust
 47  3.8146352E-01  8  3.0195156E-01  1.8650807E+04  dust
 47  3.8146352E-01  9  5.8874250E-01  1.4930670E+04  dust
 47  3.8146352E-01 10  1.2118621E+00  1.0908384E+04  dust
 47  3.8146352E-01 11  2.3303096E+00  7.6688143E+03  dust
 47  3.8146352E-01 12  4.3003104E+00  5.9253110E+03  dust
 47  3.8146352E-01 13  6.2450423E+00  4.7185140E+03  dust
 47  3.8146352E-01 14  8.8527200E+00  5.1101718E+03  dust
 47  3.8146352E-01 15  1.2668311E+01  4.5024280E+03  dust
 47  3.8146352E-01 16  1.8134220E+01  4.4120176E+03  dust
 47  3.8146352E-01 17  2.5964377E+01  4.0673747E+03  dust
 47  3.8146352E-01 18  4.2233750E+01  2.9668996E+03  dust
 47  3.8146352E-01 19  8.6443439E+01  1.9941255E+03  dust
 47  3.8146352E-01 20  1.7710287E+02  1.3486818E+03  dust
 47  3.8146352E-01 21  3.6308087E+02  9.0713254E+02  dust
 47  3.8146352E-01 22  7.4469677E+02  6.0190608E+02  dust
 47  3.8146352E-01 23  1.5279094E+03  3.8852569E+02  dust
 47  3.8146352E-01 24  3.1355912E+03  2.3813643E+02  dust
 47  3.8146352E-01 25  6.4360319E+03  1.2721560E+02  dust
 48  4.0730543E-01  1  9.5842289E-02  2.4045312E+04  dust
 48  4.0730543E-01  2  1.0573550E-01  2.3599330E+04  dust
 48  4.0730543E-01  3  1.1812006E-01  2.3063757E+04  dust
 48  4.0730543E-01  4  1.3353968E-01  2.2476528E+04  dust
 48  4.0730543E-01  5  1.5097181E-01  2.1828714E+04  dust
 48  4.0730543E-01  6  1.7067955E-01  2.0873055E+04  dust
 48  4.0730543E-01  7  1.9296000E-01  1.9796695E+04  dust
 48  4.0730543E-01  8  3.0195156E-01  1.7453923E+04  dust
 48  4.0730543E-01  9  5.8874250E-01  1.3972531E+04  dust
 48  4.0730543E-01 10  1.2118621E+00  1.0208379E+04  dust
 48  4.0730543E-01 11  2.3303096E+00  7.1767115E+03  dust
 48  4.0730543E-01 12  4.3003104E+00  5.5450986E+03  dust
