 ix          r[AU] il       lam[mic]       tau_vert
  4  5.1055138E-02 16  1.8134220E+01  1.9271967E-01  dust
  4  5.1055138E-02 17  2.5964377E+01  1.7775455E-01  dust
  4  5.1055138E-02 18  4.2233750E+01  1.2975909E-01  dust
  4  5.1055138E-02 19  8.6443439E+01  8.7259097E-02  dust
  4  5.1055138E-02 20  1.7710287E+02  5.9025852E-02  dust
  4  5.1055138E-02 21  3.6308087E+02  3.9698558E-02  dust
  4  5.1055138E-02 22  7.4469677E+02  2.6334190E-02  dust
  4  5.1055138E-02 23  1.5279094E+03  1.6991164E-02  dust
  4  5.1055138E-02 24  3.1355912E+03  1.0407922E-02  dust
  4  5.1055138E-02 25  6.4360319E+03  5.5562933E-03  dust
  5  5.1446674E-02  1  9.5842289E-02  1.9799993E+00  dust
  5  5.1446674E-02  2  1.0573550E-01  1.9435176E+00  dust
  5  5.1446674E-02  3  1.1812006E-01  1.8996888E+00  dust
  5  5.1446674E-02  4  1.3353968E-01  1.8516236E+00  dust
  5  5.1446674E-02  5  1.5097181E-01  1.7985909E+00  dust
  5  5.1446674E-02  6  1.7067955E-01  1.7202960E+00  dust
  5  5.1446674E-02  7  1.9296000E-01  1.6320163E+00  dust
  5  5.1446674E-02  8  3.0195156E-01  1.4397398E+00  dust
  5  5.1446674E-02  9  5.8874250E-01  1.1540543E+00  dust
  5  5.1446674E-02 10  1.2118621E+00  8.4454051E-01  dust
  5  5.1446674E-02 11  2.3303096E+00  5.9462007E-01  dust
  5  5.1446674E-02 12  4.3003104E+00  4.5983921E-01  dust
  5  5.1446674E-02 13  6.2450423E+00  3.6637930E-01  dust
  5  5.1446674E-02 14  8.8527200E+00  3.9636658E-01  dust
  5  5.1446674E-02 15  1.2668311E+01  3.4953848E-01  dust
  5  5.1446674E-02 16  1.8134220E+01  3.4239611E-01  dust
  5  5.1446674E-02 17  2.5964377E+01  3.1580919E-01  dust
  5  5.1446674E-02 18  4.2233750E+01  2.3054413E-01  dust
  5  5.1446674E-02 19  8.6443439E+01  1.5503970E-01  dust
  5  5.1446674E-02 20  1.7710287E+02  1.0487821E-01  dust
  5  5.1446674E-02 21  3.6308087E+02  7.0538009E-02  dust
  5  5.1446674E-02 22  7.4469677E+02  4.6792012E-02  dust
  5  5.1446674E-02 23  1.5279094E+03  3.0191290E-02  dust
  5  5.1446674E-02 24  3.1355912E+03  1.8494486E-02  dust
  5  5.1446674E-02 25  6.4360319E+03  9.8735164E-03  dust
  6  5.1861835E-02  1  9.5842289E-02  3.5169538E+00  dust
  6  5.1861835E-02  2  1.0573550E-01  3.4520856E+00  dust
  6  5.1861835E-02  3  1.1812006E-01  3.3741614E+00  dust
  6  5.1861835E-02  4  1.3353968E-01  3.2887092E+00  dust
