,name,wavelength,line,type,diagnostic,transition,A_ul,E_u,Unnamed: 5,E_l (cm-1),Reference,elambda,ep,ip
436,[FeIII],105.37,yes,fine_structure,,5D0-5D1,,,,,,0.6,16.19,30.65
437,[FeI],111.1828,yes,fine_structure,,a5D0-a5D1,,,,,,0.0018,0,7.9
261,HI 18-16,111.21363,yes,hydrogen,,,,,,,,,,
262,HI 21-18,111.34731,yes,hydrogen,,,,,,,,,,
263,HI 14-13,111.85641,yes,hydrogen,,,,,,,,,,
264,HI 24-20,119.35808,yes,hydrogen,,,,,,,,,,
438,[NII],121.89757,yes,fine_structure,,3P2-3P1,,,,,,0.00002,14.53,29.6
265,HI 22-19,129.5178,yes,hydrogen,,,,,,,,,,
439,[SiI],129.68173,yes,fine_structure,,3P1-3P0,,,,,,0.00003,0,8.15
266,HI 19-17,132.11573,yes,hydrogen,,,,,,,,,,
267,HI 25-21,136.57864,yes,hydrogen,,,,,,,,,,
268,HI 15-14,138.65084,yes,hydrogen,,,,,,,,,,
440,[OI],145.525439,yes,fine_structure,,3P0-3P1,,,,,,0.000007,0,13.62
269,HI 23-20,149.55742,yes,hydrogen,,,,,,,,,,
270,HI 20-18,155.4796,yes,hydrogen,,,,,,,,,,
441,[CII],157.7409,yes,fine_structure,,2P3/2-2P1/2,,,,,,0.0001,11.26,24.38
271,HI 16-15,169.41144,yes,hydrogen,,,,,,,,,,
272,HI 24-21,171.55735,yes,hydrogen,,,,,,,,,,
273,HI 21-19,181.44199,yes,hydrogen,,,,,,,,,,
274,HI 25-22,195.60876,yes,hydrogen,,,,,,,,,,
442,[NII],205.17823,yes,fine_structure,,3P1-3P0,,,,,,0.00002,14.53,29.6
